"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè po dejavnostih [SKD 2008], Slovenija, meseèno"

"SKD DEJAVNOST","MESEC","Bruto plaèa Plaèa za zadnjih 12 mesecev [EUR]","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR]"
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve","2014M12",1233.59,833.25
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve","2015M12",1227.14,830.22
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve","2016M12",1226.50,829.39
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve","2017M12",1247.87,846.48
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve","2018M12",1313.53,886.37
"A02 Gozdarstvo","2014M12",1455.94,966.42
"A02 Gozdarstvo","2015M12",1474.17,978.69
"A02 Gozdarstvo","2016M12",1462.15,969.40
"A02 Gozdarstvo","2017M12",1443.78,964.06
"A02 Gozdarstvo","2018M12",1533.65,1018.23
"A03 Ribištvo in gojenje vodnih organizmov","2014M12",1166.63,792.47
"A03 Ribištvo in gojenje vodnih organizmov","2015M12",1145.09,779.59
"A03 Ribištvo in gojenje vodnih organizmov","2016M12",1163.53,790.11
"A03 Ribištvo in gojenje vodnih organizmov","2017M12",1227.35,831.96
"A03 Ribištvo in gojenje vodnih organizmov","2018M12",1262.63,852.32
"B05 Pridobivanje premoga","2014M12",2451.90,1555.03
"B05 Pridobivanje premoga","2015M12",2247.53,1430.10
"B05 Pridobivanje premoga","2016M12",2318.41,1476.29
"B05 Pridobivanje premoga","2017M12",2357.75,1501.22
"B05 Pridobivanje premoga","2018M12",2566.11,1627.29
"B06 Pridobivanje surove nafte in zemeljskega plina","2014M12",-,-
"B06 Pridobivanje surove nafte in zemeljskega plina","2015M12",-,-
"B06 Pridobivanje surove nafte in zemeljskega plina","2016M12",-,-
"B06 Pridobivanje surove nafte in zemeljskega plina","2017M12",-,-
"B06 Pridobivanje surove nafte in zemeljskega plina","2018M12",-,-
"B07 Pridobivanje rud","2014M12",z,z
"B07 Pridobivanje rud","2015M12",z,z
"B07 Pridobivanje rud","2016M12",z,z
"B07 Pridobivanje rud","2017M12",z,z
"B07 Pridobivanje rud","2018M12",z,z
"B08 Pridobivanje rudnin in kamnin","2014M12",1621.46,1046.65
"B08 Pridobivanje rudnin in kamnin","2015M12",1653.92,1061.30
"B08 Pridobivanje rudnin in kamnin","2016M12",1699.98,1087.03
"B08 Pridobivanje rudnin in kamnin","2017M12",1722.73,1108.61
"B08 Pridobivanje rudnin in kamnin","2018M12",1847.87,1178.89
"B09 Storitve za rudarstvo","2014M12",1682.88,1071.80
"B09 Storitve za rudarstvo","2015M12",z,z
"B09 Storitve za rudarstvo","2016M12",z,z
"B09 Storitve za rudarstvo","2017M12",z,z
"B09 Storitve za rudarstvo","2018M12",z,z
"C10 Proizvodnja živil","2014M12",1227.41,829.43
"C10 Proizvodnja živil","2015M12",1228.83,828.44
"C10 Proizvodnja živil","2016M12",1248.32,839.66
"C10 Proizvodnja živil","2017M12",1292.35,870.95
"C10 Proizvodnja živil","2018M12",1361.40,909.52
"C11 Proizvodnja pijaè","2014M12",1650.71,1072.70
"C11 Proizvodnja pijaè","2015M12",1693.48,1102.70
"C11 Proizvodnja pijaè","2016M12",1760.82,1134.10
"C11 Proizvodnja pijaè","2017M12",1846.30,1198.84
"C11 Proizvodnja pijaè","2018M12",1845.55,1194.25
"C12 Proizvodnja tobaènih izdelkov","2014M12",-,-
"C12 Proizvodnja tobaènih izdelkov","2015M12",-,-
"C12 Proizvodnja tobaènih izdelkov","2016M12",-,-
"C12 Proizvodnja tobaènih izdelkov","2017M12",z,z
"C12 Proizvodnja tobaènih izdelkov","2018M12",z,z
"C13 Proizvodnja tekstilij","2014M12",1257.70,843.18
"C13 Proizvodnja tekstilij","2015M12",1311.42,872.87
"C13 Proizvodnja tekstilij","2016M12",1374.23,911.05
"C13 Proizvodnja tekstilij","2017M12",1428.25,953.07
"C13 Proizvodnja tekstilij","2018M12",1479.19,977.92
"C14 Proizvodnja oblaèil","2014M12",967.18,677.33
"C14 Proizvodnja oblaèil","2015M12",995.22,694.05
"C14 Proizvodnja oblaèil","2016M12",1014.16,705.52
"C14 Proizvodnja oblaèil","2017M12",1074.58,742.53
"C14 Proizvodnja oblaèil","2018M12",1125.44,774.03
"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov","2014M12",1020.33,710.97
"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov","2015M12",1007.96,702.40
"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov","2016M12",1000.92,697.58
"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov","2017M12",1032.95,717.39
"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov","2018M12",1081.25,747.57
"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa, plute, slame in protja, razen pohištva","2014M12",1246.70,839.06
"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa, plute, slame in protja, razen pohištva","2015M12",1272.01,852.11
"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa, plute, slame in protja, razen pohištva","2016M12",1299.98,871.00
"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa, plute, slame in protja, razen pohištva","2017M12",1316.79,887.39
"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa, plute, slame in protja, razen pohištva","2018M12",1378.97,925.15
"C17 Proizvodnja papirja in izdelkov iz papirja","2014M12",1480.30,970.73
"C17 Proizvodnja papirja in izdelkov iz papirja","2015M12",1514.45,984.60
"C17 Proizvodnja papirja in izdelkov iz papirja","2016M12",1559.04,1016.50
"C17 Proizvodnja papirja in izdelkov iz papirja","2017M12",1584.10,1040.16
"C17 Proizvodnja papirja in izdelkov iz papirja","2018M12",1641.18,1074.61
"C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa","2014M12",1375.89,918.01
"C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa","2015M12",1392.97,924.29
"C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa","2016M12",1401.52,932.05
"C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa","2017M12",1440.82,960.25
"C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa","2018M12",1485.54,985.07
"C19 Proizvodnja koksa in naftnih derivatov","2014M12",1627.01,1035.74
"C19 Proizvodnja koksa in naftnih derivatov","2015M12",1219.97,836.05
"C19 Proizvodnja koksa in naftnih derivatov","2016M12",z,z
"C19 Proizvodnja koksa in naftnih derivatov","2017M12",z,z
"C19 Proizvodnja koksa in naftnih derivatov","2018M12",z,z
"C20 Proizvodnja kemikalij, kemiènih izdelkov","2014M12",1740.74,1120.13
"C20 Proizvodnja kemikalij, kemiènih izdelkov","2015M12",1766.08,1129.46
"C20 Proizvodnja kemikalij, kemiènih izdelkov","2016M12",1785.91,1142.11
"C20 Proizvodnja kemikalij, kemiènih izdelkov","2017M12",1833.17,1188.54
"C20 Proizvodnja kemikalij, kemiènih izdelkov","2018M12",1892.02,1218.95
"C21 Proizvodnja farmacevtskih surovin in preparatov","2014M12",3063.04,1821.83
"C21 Proizvodnja farmacevtskih surovin in preparatov","2015M12",3082.26,1830.66
"C21 Proizvodnja farmacevtskih surovin in preparatov","2016M12",3110.05,1855.31
"C21 Proizvodnja farmacevtskih surovin in preparatov","2017M12",3112.49,1905.71
"C21 Proizvodnja farmacevtskih surovin in preparatov","2018M12",3209.16,1958.48
"C22 Proizvodnja izdelkov iz gume in plastiènih mas","2014M12",1464.88,966.39
"C22 Proizvodnja izdelkov iz gume in plastiènih mas","2015M12",1495.85,984.45
"C22 Proizvodnja izdelkov iz gume in plastiènih mas","2016M12",1518.80,998.40
"C22 Proizvodnja izdelkov iz gume in plastiènih mas","2017M12",1555.01,1025.63
"C22 Proizvodnja izdelkov iz gume in plastiènih mas","2018M12",1622.58,1064.94
"C23 Proizvodnja nekovinskih mineralnih izdelkov","2014M12",1512.93,988.68
"C23 Proizvodnja nekovinskih mineralnih izdelkov","2015M12",1547.73,1009.06
"C23 Proizvodnja nekovinskih mineralnih izdelkov","2016M12",1561.04,1017.27
"C23 Proizvodnja nekovinskih mineralnih izdelkov","2017M12",1619.80,1063.46
"C23 Proizvodnja nekovinskih mineralnih izdelkov","2018M12",1681.70,1102.28
"C24 Proizvodnja kovin","2014M12",1549.54,1015.39
"C24 Proizvodnja kovin","2015M12",1608.15,1049.69
"C24 Proizvodnja kovin","2016M12",1623.32,1057.69
"C24 Proizvodnja kovin","2017M12",1701.22,1113.18
"C24 Proizvodnja kovin","2018M12",1770.23,1152.80
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav","2014M12",1385.61,920.99
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav","2015M12",1412.74,936.16
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav","2016M12",1442.69,951.63
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav","2017M12",1497.44,991.04
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav","2018M12",1552.35,1021.89
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov","2014M12",1394.56,920.93
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov","2015M12",1448.23,950.78
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov","2016M12",1481.68,974.03
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov","2017M12",1647.56,1077.57
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov","2018M12",1802.00,1167.58
"C27 Proizvodnja elektriènih naprav","2014M12",1390.81,918.59
"C27 Proizvodnja elektriènih naprav","2015M12",1416.46,933.46
"C27 Proizvodnja elektriènih naprav","2016M12",1471.25,963.95
"C27 Proizvodnja elektriènih naprav","2017M12",1525.29,1008.60
"C27 Proizvodnja elektriènih naprav","2018M12",1571.20,1035.43
"C28 Proizvodnja drugih strojev in naprav","2014M12",1580.36,1033.05
"C28 Proizvodnja drugih strojev in naprav","2015M12",1629.00,1059.12
"C28 Proizvodnja drugih strojev in naprav","2016M12",1670.97,1083.28
"C28 Proizvodnja drugih strojev in naprav","2017M12",1737.36,1130.50
"C28 Proizvodnja drugih strojev in naprav","2018M12",1827.26,1182.95
"C29 Proizvodnja motornih vozil, prikolic in polprikolic","2014M12",1464.36,968.27
"C29 Proizvodnja motornih vozil, prikolic in polprikolic","2015M12",1490.74,982.84
"C29 Proizvodnja motornih vozil, prikolic in polprikolic","2016M12",1537.40,1008.94
"C29 Proizvodnja motornih vozil, prikolic in polprikolic","2017M12",1549.82,1031.18
"C29 Proizvodnja motornih vozil, prikolic in polprikolic","2018M12",1570.31,1039.06
"C30 Proizvodnja drugih vozil in plovil","2014M12",1573.92,1020.79
"C30 Proizvodnja drugih vozil in plovil","2015M12",1526.68,1006.13
"C30 Proizvodnja drugih vozil in plovil","2016M12",1536.63,1010.78
"C30 Proizvodnja drugih vozil in plovil","2017M12",1574.37,1037.46
"C30 Proizvodnja drugih vozil in plovil","2018M12",1644.95,1074.66
"C31 Proizvodnja pohištva","2014M12",1166.83,798.53
"C31 Proizvodnja pohištva","2015M12",1194.67,815.48
"C31 Proizvodnja pohištva","2016M12",1206.88,821.15
"C31 Proizvodnja pohištva","2017M12",1268.41,860.82
"C31 Proizvodnja pohištva","2018M12",1341.46,904.62
"C32 Druge raznovrstne predelovalne dejavnosti","2014M12",1340.38,895.14
"C32 Druge raznovrstne predelovalne dejavnosti","2015M12",1368.03,909.55
