"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè po dejavnostih [SKD 2008], Slovenija, meseèno"

"SKD DEJAVNOST","MESEC","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR]"
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO","2014M12",880.44
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO","2015M12",882.98
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO","2016M12",878.77
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO","2017M12",885.06
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO","2018M12",926.93
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve","2014M12",833.25
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve","2015M12",830.22
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve","2016M12",829.39
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve","2017M12",846.48
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve","2018M12",886.37
"A02 Gozdarstvo","2014M12",966.42
"A02 Gozdarstvo","2015M12",978.69
"A02 Gozdarstvo","2016M12",969.40
"A02 Gozdarstvo","2017M12",964.06
"A02 Gozdarstvo","2018M12",1018.23
"A03 Ribištvo in gojenje vodnih organizmov","2014M12",792.47
"A03 Ribištvo in gojenje vodnih organizmov","2015M12",779.59
"A03 Ribištvo in gojenje vodnih organizmov","2016M12",790.11
"A03 Ribištvo in gojenje vodnih organizmov","2017M12",831.96
"A03 Ribištvo in gojenje vodnih organizmov","2018M12",852.32
"B RUDARSTVO","2014M12",1357.15
"B RUDARSTVO","2015M12",1278.15
"B RUDARSTVO","2016M12",1311.83
"B RUDARSTVO","2017M12",1331.09
"B RUDARSTVO","2018M12",1423.64
"B05 Pridobivanje premoga","2014M12",1555.03
"B05 Pridobivanje premoga","2015M12",1430.10
"B05 Pridobivanje premoga","2016M12",1476.29
"B05 Pridobivanje premoga","2017M12",1501.22
"B05 Pridobivanje premoga","2018M12",1627.29
"B06 Pridobivanje surove nafte in zemeljskega plina","2014M12",-
"B06 Pridobivanje surove nafte in zemeljskega plina","2015M12",-
"B06 Pridobivanje surove nafte in zemeljskega plina","2016M12",-
"B06 Pridobivanje surove nafte in zemeljskega plina","2017M12",-
"B06 Pridobivanje surove nafte in zemeljskega plina","2018M12",-
"B07 Pridobivanje rud","2014M12",z
"B07 Pridobivanje rud","2015M12",z
"B07 Pridobivanje rud","2016M12",z
"B07 Pridobivanje rud","2017M12",z
"B07 Pridobivanje rud","2018M12",z
"B08 Pridobivanje rudnin in kamnin","2014M12",1046.65
"B08 Pridobivanje rudnin in kamnin","2015M12",1061.30
"B08 Pridobivanje rudnin in kamnin","2016M12",1087.03
"B08 Pridobivanje rudnin in kamnin","2017M12",1108.61
"B08 Pridobivanje rudnin in kamnin","2018M12",1178.89
"B09 Storitve za rudarstvo","2014M12",1071.80
"B09 Storitve za rudarstvo","2015M12",z
"B09 Storitve za rudarstvo","2016M12",z
"B09 Storitve za rudarstvo","2017M12",z
"B09 Storitve za rudarstvo","2018M12",z
"C PREDELOVALNE DEJAVNOSTI","2014M12",973.76
"C PREDELOVALNE DEJAVNOSTI","2015M12",991.04
