"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè po dejavnostih [SKD 2008], Slovenija, meseèno"

"SKD DEJAVNOST","MESEC","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR]"
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO","2016M12",878.77
"B RUDARSTVO","2016M12",1311.83
"C PREDELOVALNE DEJAVNOSTI","2016M12",1009.33
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO","2016M12",1463.15
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA","2016M12",1004.53
"F GRADBENIŠTVO","2016M12",812.91
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL","2016M12",935.47
"H PROMET IN SKLADIŠÈENJE","2016M12",959.88
"I GOSTINSTVO","2016M12",741.47
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI","2016M12",1317.04
"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI","2016M12",1408.60
"L POSLOVANJE Z NEPREMIÈNINAMI","2016M12",970.96
"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI","2016M12",1106.13
"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI","2016M12",724.90
"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI","2016M12",1215.48
"P IZOBRAŽEVANJE","2016M12",1108.29
"Q ZDRAVSTVO IN SOCIALNO VARSTVO","2016M12",1130.97
"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI","2016M12",1078.55
"S DRUGE DEJAVNOSTI","2016M12",883.89
